No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date,Target Price,IPO Date,After-Hours Close,After-Hours Change
5421,NRC,National Research Corporation,Healthcare,Diagnostics & Research,USA,982.87,28.32,,2.18,6.81,12.16,18.72,25.14,1.21%,25.40%,1.4,15.00%,,15.20%,13.00%,5.40%,1.20%,12.80%,25.43,14.09,0.40%,-74.45%,44.80%,0.24%,1.89%,5.51,24.50%,48.50%,40.00%,1.9,1.9,0.28,0.33,64.70%,33.00%,24.90%,2.26%,-5.71%,-7.98%,-24.67%,-12.23%,-4.24%,0.75,1.54,5.70%,3.64%,-0.07%,-3.56%,-14.40%,-15.22%,8.13%,-28.58%,8.13%,48.7,2.08%,-0.64%,3,48.26,0.97,39.76,1.43%,46655,,,5/23/2013,39.76,0.00%
5422,NRDS,"NerdWallet, Inc.",Financial,Credit Services,USA,482.19,,,,1.43,13.36,,,,,-0.41,,41.30%,,,,,92.00%,34.15,18.36,16.31%,-0.06%,29.06%,,5.96%,1.56,,,,,,,,,,,7.62%,-4.79%,,,,-9.20%,,0.88,6.60%,6.64%,-0.16%,-15.30%,-20.82%,-49.45%,16.60%,-59.00%,16.60%,44.57,3.82%,-0.51%,1.6,702.52,0.26,14.12,3.29%,182202,,31.14,11/04/2021,14.12,0.00%
5423,NRDY,"Nerdy, Inc.",Technology,Software - Application,USA,695.47,,,,22.22,0.59,632.24,,,,-1.04,,39.50%,,,,,18.60%,56.25,45.03,14.20%,2.58%,77.50%,2.22%,8.07%,2.96,,,,0,0,0,0.01,66.00%,,,-5.45%,-7.35%,-50.42%,-58.27%,-60.38%,-7.56%,,0.32,8.21%,7.65%,-3.00%,-18.63%,-51.81%,-44.53%,8.62%,-69.16%,8.62%,40.49,3.23%,-0.98%,2,1229.9,0.36,4.16,2.21%,441138,11/15/2021 4:30:00 PM,10.62,11/27/2020,4.15,-0.24%
5424,NREF,"NexPoint Real Estate Finance, Inc.",Real Estate,REIT - Diversified,USA,186.68,4.6,8.38,,1.43,0.57,8.41,5,9.57%,28.20%,4.32,52.20%,-0.71%,,,,23.80%,77.10%,9.16,7.2,0.20%,0.00%,63.80%,-0.02%,0.49%,0.64,0.50%,21.70%,0.60%,,,31.67,32.6,74.20%,68.00%,27.90%,0.71%,2.37%,-3.73%,1.85%,22.14%,3.17%,,0.76,5.73%,3.63%,-0.42%,-2.82%,-3.52%,-12.43%,10.58%,-17.15%,24.13%,47.78,0.71%,0.05%,1.3,55.14,0.42,19.86,0.76%,23283,2/17/2022 8:30:00 AM,23,2/07/2020,19.89,0.15%
5425,NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,USA,9604.33,4.01,10.63,0.09,0.44,2.4,37.08,5.61,3.26%,12.80%,9.96,-86.70%,-54.81%,16.10%,43.10%,-5.90%,549.80%,135.30%,245,242.44,0.80%,-3.20%,98.20%,-0.29%,4.71%,4.52,11.70%,99.40%,8.00%,1.2,1.2,1.95,2.07,31.10%,17.00%,11.10%,1.81%,-6.97%,-2.35%,-3.25%,-3.65%,-7.38%,0.9,1.05,3.40%,2.49%,-2.04%,0.97%,0.97%,-7.98%,13.06%,-13.45%,24.92%,47.89,2.47%,-0.05%,2.3,2521.88,1.29,39.9,2.41%,3247193,11/04/2021 8:30,45.9,12/02/2003,39.9,0.00%
5426,NRGD,MicroSectors U.S. Big Oil Index -3X Inverse Leveraged ETNs,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.52%,-43.13%,-41.94%,-72.35%,-91.67%,-43.59%,,0.52,14.73%,9.62%,-19.17%,-38.71%,-63.48%,-56.18%,6.63%,-91.96%,6.63%,30.94,0.97%,0.00%,,1520.36,2.16,4.18,0.97%,3282954,,,4/10/2019,4.16,-0.48%
5427,NRGU,MicroSectors U.S. Big Oil Index 3X Leveraged ETNs,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.52%,61.41%,35.55%,121.95%,302.80%,63.72%,,22.11,14.91%,9.41%,15.90%,41.14%,66.43%,-5.39%,108.51%,-5.39%,323.18%,66.85,0.07%,-1.03%,,318.29,1.12,265.85,-0.96%,356733,,,4/10/2019,265,-0.32%
5428,NRGX,PIMCO Energy and Tactical Credit Opportunities Fund,Financial,Asset Management,USA,600.86,,,,,,,,5.06%,,,,,,,,,,44.71,,,,28.99%,,,0.51,,,,,,,,,,,2.44%,6.16%,2.05%,16.97%,54.84%,4.35%,,0.44,4.47%,3.07%,-0.52%,1.92%,9.30%,-7.76%,13.51%,-7.76%,62.32%,51.48,-0.15%,0.37%,,174.72,0.97,13.44,0.22%,170094,,,1/30/2019,13.48,0.30%
5429,NRIM,"Northrim BanCorp, Inc.",Financial,Banks - Regional,USA,268.34,6.89,11.83,,3.24,1.11,0.54,4.93,3.51%,23.10%,6.28,68.30%,-39.70%,14.80%,,5.10%,-23.40%,7.60%,6.2,5.99,1.20%,3.27%,72.30%,0.16%,0.44%,1.64,1.70%,16.90%,25.30%,,,0.04,0.04,,99.20%,47.80%,0.93%,-1.43%,-2.79%,6.03%,34.74%,-0.41%,0.73,1.23,3.96%,2.62%,-2.90%,-1.56%,0.38%,-6.98%,6.79%,-10.19%,36.40%,43.05,-0.76%,0.18%,,16.19,0.8,43.28,-0.57%,12892,,49,11/15/1990,43.28,0.00%
5430,NRIX,"Nurix Therapeutics, Inc.",Healthcare,Biotechnology,USA,778.81,,,,26.86,2.09,2.26,,,,-2.39,41.70%,-19.40%,,,,-10.10%,151.20%,44.37,43.48,2.54%,-2.06%,89.60%,0.17%,7.94%,10.43,-22.00%,-29.80%,-15.30%,7.1,7.1,0,0,,,,-7.59%,-41.66%,-48.06%,-42.55%,-51.46%,-39.00%,,1.8,8.27%,8.46%,-24.84%,-34.89%,-40.11%,-48.17%,3.27%,-63.09%,3.27%,26.26,5.06%,-2.78%,1.6,330.76,1.53,17.66,2.14%,504687,,52.22,7/24/2020,17.66,0.00%
5431,NRK,Nuveen New York AMT-Free Quality Municipal Income Fund,Financial,Asset Management,USA,1134.06,13.09,,,15.71,0.86,,,4.46%,,0.99,,,,,,,-9.00%,87.24,,,,27.52%,,,0.22,,,,,,,,,,,-0.84%,-5.73%,-4.69%,-9.28%,-5.11%,-5.73%,,0.13,1.19%,0.94%,-3.22%,-4.52%,-6.57%,-6.74%,0.08%,-10.03%,0.08%,24.55,-0.15%,0.23%,,95.37,0.88,13,0.08%,84002,,,11/22/2002,,
5432,NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,Financial,Asset Management,USA,228.2,2.96,,,23.28,0.96,,,7.69%,,1.63,,,,,,37.70%,25.70%,47.44,,,,6.26%,,,0.25,,,,,,,,,,,-0.21%,-7.68%,-4.37%,-7.14%,15.62%,-8.73%,,0.13,5.08%,2.45%,-4.91%,-4.82%,-3.75%,-9.25%,9.82%,-9.25%,16.18%,36.97,2.56%,0.00%,,126.82,1.04,4.81,2.56%,131314,,,10/29/2003,4.88,1.45%
5433,NRP,Natural Resource Partners L.P.,Energy,Thermal Coal,USA,455.27,21.16,,,2.66,1.96,3.83,7.96,5.03%,61.50%,1.69,-107.50%,,14.60%,0.00%,-20.20%,302.50%,89.60%,12.35,8.73,29.27%,0.00%,37.90%,0.06%,0.58%,1.68,3.90%,17.30%,-6.50%,2.1,2.1,1.83,2.01,,62.60%,21.10%,3.29%,13.35%,15.03%,66.14%,129.47%,7.18%,0.6,1.92,5.48%,5.45%,1.31%,8.83%,44.34%,-9.27%,26.08%,-9.27%,151.90%,56.71,0.51%,0.56%,3,30.05,1.39,35.82,1.07%,41916,11/03/2021 8:30,,10/11/2002,36.43,1.70%
5434,NRSN,NeuroSense Therapeutics Ltd.,Healthcare,Biotechnology,Israel,21.41,,,,,11.61,21.41,,,,-0.46,-131.40%,,,,,,,11.45,6.29,44.07%,0.00%,,,0.42%,0.07,,,,8.1,8.1,0,0,,,,-20.43%,-22.08%,,,,-23.98%,,0.28,19.98%,12.14%,-24.31%,-31.77%,-31.77%,-60.21%,7.47%,-60.21%,7.47%,27.95,5.06%,0.00%,,399.74,0.21,1.87,5.06%,84026,,7,12/09/2021,2,6.95%
5435,NRT,North European Oil Royalty Trust,Energy,Oil & Gas Equipment & Services,USA,110.16,26.83,,,23.95,1166.92,78.68,137.7,4.03%,80.40%,0.43,21.00%,,-8.30%,,-7.90%,501.60%,366.70%,9.1,8.14,0.62%,-6.44%,18.80%,-0.17%,0.26%,0.6,325.90%,,3975.90%,1.1,1.1,0,0,86.40%,86.30%,86.40%,11.22%,15.88%,13.96%,54.56%,186.71%,16.58%,1.11,0.55,5.98%,4.78%,8.87%,17.57%,46.13%,-2.76%,49.99%,-2.76%,211.18%,66.15,6.76%,0.18%,,34.84,1.17,11.67,6.96%,40854,,,11/11/1981,11.69,0.18%
5436,NRXP,"NRx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,200.12,,,,,18.35,5.14,,,,-7.95,-596.10%,,,,,-761.00%,,51.74,23.88,0.10%,-53.47%,4.10%,12.30%,6.42%,0.51,,,,1.2,1.2,0,0.06,,,,-5.74%,-37.22%,-69.71%,-79.45%,-94.69%,-34.73%,0.42,0.4,11.32%,9.71%,-25.79%,-37.96%,-76.91%,-69.97%,11.43%,-95.14%,11.43%,32.54,8.71%,0.35%,,3003.54,0.21,3.12,9.09%,627092,11/16/2021 8:30:00 AM,,12/04/2017,3.07,-1.60%
5437,NRZ,New Residential Investment Corp.,Real Estate,REIT - Mortgage,USA,4930.43,7.89,5.88,0.52,1.62,0.91,3.61,,8.69%,43.10%,1.31,-362.10%,19.80%,-36.10%,15.04%,-3.40%,63.70%,35.60%,466.58,464.41,0.10%,0.85%,49.10%,0.18%,2.14%,2.1,2.20%,16.60%,-4.50%,,,1.66,5.96,81.30%,37.60%,27.00%,-1.33%,-5.90%,-8.96%,6.15%,10.33%,-3.27%,1.76,0.3,4.53%,2.49%,-4.15%,-5.18%,-3.02%,-10.03%,4.86%,-12.28%,15.37%,37.04,1.07%,-0.29%,1.7,4750.23,1.42,10.36,0.78%,6732932,11/02/2021 8:30,12.72,5/02/2013,10.39,0.29%
5438,NS,NuStar Energy L.P.,Energy,Oil & Gas Midstream,USA,1815.11,,12.77,,1.14,7.89,229.76,10.29,9.71%,,-1.37,-626.90%,284.50%,-24.20%,40.20%,-6.60%,-21.40%,13.70%,109.53,97.74,10.60%,0.00%,59.10%,0.08%,4.08%,7.93,-2.70%,-38.00%,1.60%,1.8,1.7,14.87,14.89,34.40%,15.10%,-9.40%,2.17%,9.50%,0.43%,-0.48%,8.07%,3.78%,2.37,0.61,5.19%,3.72%,1.10%,7.30%,-1.45%,-2.89%,21.80%,-20.50%,21.80%,57.33,1.60%,0.06%,2.5,503.17,0.78,16.48,1.67%,393219,2/03/2022 8:30,18.89,4/10/2001,16.48,0.00%
5439,NSA,National Storage Affiliates Trust,Real Estate,REIT - Industrial,USA,5407.13,66.21,37.17,6.02,10.28,3.77,78.14,30.69,2.96%,135.30%,0.92,467.20%,11.36%,14.20%,11.00%,26.40%,78.80%,37.70%,86.26,81.94,8.00%,0.00%,87.00%,0.02%,2.13%,3.36,2.20%,8.60%,5.40%,,,1.53,1.53,,37.30%,16.10%,-0.59%,-11.91%,-2.81%,12.33%,66.53%,-12.07%,0.56,1.95,4.18%,3.11%,-5.19%,-4.92%,9.29%,-13.12%,3.84%,-13.12%,69.69%,39.63,2.63%,0.88%,2.2,520.29,1.22,60.85,3.54%,634690,11/02/2021 16:30,69.59,4/23/2015,61,0.25%
5440,NSC,Norfolk Southern Corporation,Industrials,Railroads,USA,66855.14,23.39,19.72,1.33,6.15,4.8,45.63,38.98,1.60%,34.30%,11.63,-23.50%,14.76%,9.00%,17.64%,-1.40%,37.80%,13.80%,245.3,243.07,0.10%,-4.71%,75.60%,0.13%,1.42%,2.89,7.60%,20.20%,9.00%,1.1,1,0.96,1,53.20%,39.60%,26.80%,-1.60%,-8.03%,-7.22%,5.49%,14.95%,-8.64%,1.35,7.22,3.66%,2.61%,-4.70%,-3.97%,0.10%,-9.09%,2.79%,-9.09%,16.04%,36.62,0.63%,0.20%,2.3,1193.97,0.88,271.99,0.83%,1053601,1/26/2022 8:30:00 AM,308.83,6/02/1982,271.5,-0.18%
5441,NSEC,"The National Security Group, Inc.",Financial,Insurance - Property & Casualty,USA,39.59,,,,0.6,0.92,4.26,13.2,1.53%,,-1.27,-311.80%,,-30.70%,,0.80%,17.20%,-6.20%,2.53,1.09,57.06%,0.00%,2.50%,,0.01%,0.01,-2.10%,-7.30%,-13.10%,,,0.31,0.32,,-5.30%,-4.90%,71.79%,56.03%,34.17%,45.58%,46.26%,70.11%,0,0.76,1.65%,2.15%,60.10%,52.81%,33.78%,-0.63%,75.65%,-0.63%,75.65%,80.79,-0.32%,0.32%,,24.09,1.92,15.65,0.00%,46278,,,3/18/1980,15.65,0.00%
5442,NSIT,"Insight Enterprises, Inc.",Technology,Information Technology Services,USA,3238.94,16.08,12.06,2.16,0.35,2.23,30.16,,,0.00%,5.77,9.90%,8.90%,19.70%,7.44%,9.20%,37.20%,26.40%,34.85,34.3,0.60%,-33.87%,,-0.91%,7.70%,13.99,4.80%,15.10%,12.10%,1.5,1.4,0.36,0.36,15.30%,3.50%,2.30%,-3.46%,-12.60%,-0.82%,-7.65%,21.81%,-13.04%,1.77,3.06,4.26%,3.00%,-8.89%,-9.07%,-6.75%,-16.50%,2.60%,-16.50%,22.98%,31.18,1.33%,0.10%,1.5,188.8,1,92.7,1.43%,188292,11/04/2021 8:30,120.33,1/24/1995,92.7,0.00%
5443,NSL,Nuveen Senior Income Fund,Financial,Closed-End Fund - Debt,USA,228.58,6.29,,,13.04,0.97,,,6.93%,,0.94,,,,,,,-16.10%,38.61,,,,35.93%,,,0.17,,,,,,,,,,,-1.00%,-0.34%,-0.67%,3.14%,9.63%,0.34%,,0.09,2.34%,1.44%,-0.75%,-0.35%,1.39%,-3.43%,4.59%,-3.43%,10.45%,48.1,-0.17%,0.17%,,185.92,0.75,5.92,0.00%,139066,,,10/27/1999,5.92,0.00%
5444,NSP,"Insperity, Inc.",Industrials,Staffing & Employment Services,USA,4015.1,34.16,21.61,2.28,0.85,41.34,8.02,,1.73%,37.20%,3.05,-4.70%,10.39%,35.00%,15.00%,10.50%,36.40%,20.00%,38.52,35.96,2.10%,-20.31%,93.20%,0.18%,1.99%,4.44,10.30%,233.00%,34.70%,1.2,1.2,3.81,3.81,17.20%,5.10%,3.70%,-0.53%,-11.93%,-15.46%,7.01%,35.04%,-11.79%,1.55,3.62,4.76%,3.30%,-4.68%,-7.41%,0.93%,-15.55%,4.67%,-18.04%,40.88%,40.22,4.26%,-0.42%,1.8,161.1,0.86,104.18,3.83%,138326,11/01/2021 16:30,145.75,1/29/1997,104.18,0.00%
5445,NSPR,"InspireMD, Inc.",Healthcare,Medical Devices,Israel,20.13,,,,6.1,0.51,0.54,,,,-10.43,90.30%,-33.90%,,,1.50%,45.20%,10.00%,7.74,7.59,5.20%,47.46%,2.10%,,2.39%,1.7,-37.80%,-43.80%,-85.10%,10.8,10.5,0,0,2.10%,,,-10.95%,-16.58%,-39.75%,-35.11%,-76.46%,-19.21%,1.45,0.17,7.10%,6.15%,-15.17%,-24.18%,-43.39%,-38.85%,1.40%,-89.01%,1.40%,26.96,0.83%,-0.82%,2,106.31,0.81,2.44,0.00%,86604,11/09/2021 8:30,16.5,4/11/2011,,
5446,NSR,Nomad Royalty Company Ltd.,Basic Materials,Other Precious Metals & Mining,Canada,453.07,23.31,37.77,,13.36,1.05,,,2.55%,58.90%,0.27,171.30%,213.21%,19.50%,,,42.00%,-19.70%,56.66,51.15,79.67%,0.00%,1.79%,,0.39%,8.24,3.90%,4.40%,8.00%,2.3,2.3,0.19,0.22,29.20%,20.60%,44.50%,-8.06%,-16.23%,-17.66%,-6.00%,-26.04%,-18.04%,,0.29,4.45%,3.73%,-13.37%,-13.92%,-15.45%,-24.82%,0.32%,-37.30%,12.77%,30.2,-0.63%,-0.32%,,23.89,3.22,6.27,-0.95%,76874,,,2/11/2015,6.27,0.00%
5447,NSSC,"Napco Security Technologies, Inc.",Industrials,Security & Protection Services,USA,752.37,35.91,24.9,23.94,6.17,7.21,17.46,35.32,,0.00%,0.55,75.70%,30.49%,21.50%,1.50%,6.70%,232.90%,34.10%,36.7,29.08,20.50%,-0.91%,72.20%,-0.37%,4.56%,9.28,17.30%,22.20%,15.40%,6.2,4.5,0,0,43.40%,18.70%,16.70%,-1.98%,-21.36%,-15.75%,12.14%,52.93%,-20.69%,1.33,0.86,4.85%,4.11%,-10.07%,-15.55%,-1.43%,-23.17%,3.18%,-23.77%,56.87%,30.56,2.32%,0.47%,1.8,142.74,0.58,19.82,2.80%,82636,11/08/2021 8:30,27.3,12/29/1981,19.82,0.00%
5448,NSTB,Northern Star Investment Corp. II,Financial,Shell Companies,USA,485,,,,,1.34,808.33,,,,,,,,,,,,50,40,,,,6.60%,0.27%,0.3,,,,1.2,1.2,0,0,,,,-0.10%,0.00%,-2.22%,-2.41%,,0.00%,,0.03,0.40%,0.35%,-0.15%,-0.50%,-1.98%,-2.71%,0.31%,-16.52%,3.41%,41.32,-0.21%,0.31%,,352.07,0.12,9.7,0.10%,43119,,,2/11/2021,,
5449,NSTC,Northern Star Investment Corp. III,Financial,Shell Companies,USA,485.45,9680,,,,0.96,485.45,,,0.00%,0,,,,,,,,40,37,,,59.10%,,0.00%,0.01,-0.40%,-0.40%,,2.7,2.7,0,0,,,,-0.10%,-0.62%,-0.92%,-1.12%,,-0.72%,,0.03,0.25%,0.23%,-0.42%,-0.70%,-0.82%,-1.22%,0.31%,-4.16%,0.31%,35.29,-0.10%,0.00%,,120.07,0,9.68,-0.10%,416,,,4/22/2021,,
5450,NSTD,Northern Star Investment Corp. IV,Financial,Shell Companies,USA,484,1210,,,,1.3,484,,,0.00%,0.01,,,,,,,,50,40,,,58.30%,,0.00%,0,0.10%,0.10%,,2.6,2.6,0,0,,,,-0.31%,-0.51%,-0.51%,-1.91%,,-0.62%,,0.02,0.13%,0.21%,-0.40%,-0.73%,-0.83%,-1.53%,0.10%,-5.00%,0.41%,38.11,-0.10%,0.00%,,134.44,0,9.68,-0.10%,595,,,4/22/2021,9.69,0.10%
5451,NSTG,"NanoString Technologies, Inc.",Healthcare,Biotechnology,USA,1464.1,,,,10.54,7.4,3.96,,,,-2.43,-139.40%,1.20%,-3.30%,,13.40%,-22.60%,17.00%,45.56,44.81,0.40%,-38.36%,,1.36%,7.31%,5.87,-21.10%,-45.30%,-19.90%,10,9.3,1.13,1.13,53.20%,-71.90%,-78.50%,-0.83%,-20.30%,-34.51%,-47.82%,-53.85%,-23.47%,1.81,2.62,9.36%,8.17%,-9.56%,-16.57%,-38.30%,-33.50%,5.57%,-62.60%,5.57%,39.87,4.22%,0.03%,1.8,557.71,0.93,32.32,4.26%,521225,11/09/2021 16:30,71.8,6/26/2013,32.32,0.00%
5452,NSYS,Nortech Systems Incorporated,Technology,Electronic Components,USA,26.09,,,,0.25,1.26,65.24,,,0.00%,-0.61,-26.20%,,-22.80%,,-2.00%,69.40%,11.70%,2.67,1.21,1.00%,35.59%,4.60%,,0.04%,0.08,1.00%,3.50%,-3.00%,1.6,0.9,0.18,0.65,13.80%,1.00%,0.60%,-5.22%,-2.48%,-5.76%,-18.25%,33.73%,-5.22%,1.3,0.41,5.05%,4.08%,-5.06%,-4.91%,1.82%,-13.87%,8.76%,-30.91%,80.00%,39.97,-1.01%,-0.80%,,5.14,0.51,9.81,-1.80%,2626,11/11/2021 8:30,,6/11/1993,,
5453,NTAP,"NetApp, Inc.",Technology,Computer Hardware,USA,20121.62,20.96,15.59,2.38,3.33,25.4,4.42,23.18,2.32%,45.90%,4.12,-8.10%,9.49%,33.20%,8.80%,0.70%,59.90%,10.60%,223,221.4,0.20%,-12.80%,94.70%,0.11%,4.59%,5.83,10.30%,142.60%,23.70%,1.8,1.7,3.47,0,67.30%,20.80%,15.60%,2.48%,-7.31%,-3.72%,8.52%,30.00%,-6.11%,1.19,2.87,4.68%,3.18%,-4.97%,-3.88%,1.26%,-10.79%,4.70%,-10.79%,46.81%,41.78,3.04%,-0.01%,2.3,1744.09,0.86,86.37,3.03%,1504395,11/30/2021 4:30:00 PM,100.7,11/21/1995,86.37,0.00%
5454,NTB,The Bank of N.T. Butterfield & Son Limited,Financial,Banks - Diversified,Bermuda,1857.61,11.19,10.71,1.86,5.7,1.86,0.49,15.62,4.81%,53.50%,3.27,-12.30%,5.63%,20.30%,6.00%,6.00%,30.70%,-0.50%,49.54,49.51,1.19%,0.00%,71.30%,-0.66%,0.69%,2.08,1.10%,16.90%,26.60%,,,0.18,0.18,,93.80%,50.00%,-2.66%,-4.24%,3.04%,10.32%,20.22%,-4.07%,1.7,1.12,3.88%,2.73%,-5.72%,-4.18%,-0.24%,-12.22%,2.44%,-12.22%,21.64%,38.84,1.78%,0.42%,2.2,163.97,1.38,36.56,2.21%,226274,10/27/2021 4:30:00 PM,42,9/16/2016,36.56,0.00%
5455,NTCO,Natura &Co Holding S.A.,Consumer Defensive,Household & Personal Products,Brazil,5571.91,59.56,45,,0.14,0.2,,,,,0.14,,,,,,-28.50%,-8.40%,687.89,436.87,,,4.11%,,0.36%,1.16,,,,,,,,,,,-4.82%,-7.85%,-41.52%,-60.56%,-54.52%,-12.62%,,0.45,5.30%,4.45%,-2.55%,-10.94%,-51.16%,-31.53%,10.96%,-65.87%,10.96%,42.42,-2.99%,-1.30%,2.5,1349.18,1.79,8.1,-4.26%,2409678,,23,1/06/2020,8.09,-0.12%
5456,NTCT,"NetScout Systems, Inc.",Technology,Software - Infrastructure,USA,2325.84,62.43,16.15,35.07,2.75,1.16,4.89,11.98,,0.00%,0.5,815.40%,10.32%,22.50%,1.78%,-2.70%,308.40%,3.20%,74.38,70.65,1.20%,-2.17%,94.10%,-2.16%,3.49%,3.28,1.20%,1.90%,1.50%,1.9,1.8,0.18,0.18,74.40%,5.80%,4.40%,3.25%,-8.40%,15.96%,8.10%,6.35%,-6.02%,0.7,1.17,4.77%,3.41%,-1.30%,-1.54%,6.97%,-8.69%,8.18%,-10.84%,25.26%,48.49,-1.52%,0.54%,3,752.64,0.57,31.09,-0.99%,431431,1/27/2022 8:30:00 AM,34.88,8/12/1999,31.09,0.00%
5457,NTES,"NetEase, Inc.",Communication Services,Internet Content & Information,China,68930.82,34.11,3.16,2.02,5.27,4.85,4.79,21.98,0.85%,13.70%,2.83,-11.80%,17.30%,11.40%,16.89%,27.70%,8.30%,18.90%,665.18,662.02,45.00%,0.00%,34.60%,-0.93%,0.74%,1.68,8.20%,14.40%,11.30%,2.2,2.2,0,0.23,53.00%,17.90%,14.60%,-0.61%,1.21%,-3.58%,-5.68%,-16.17%,-5.29%,0.52,4.31,4.28%,4.16%,-3.66%,-6.19%,-5.16%,-18.44%,7.35%,-28.24%,23.63%,44.92,1.31%,0.65%,1.5,2937.39,0.58,96.4,1.97%,1715215,11/16/2021 8:30:00 AM,136.2,6/30/2000,96.24,-0.17%
5458,NTG,"Tortoise Midstream Energy Fund, Inc.",Financial,Closed-End Fund - Equity,USA,187.46,,,,,,,,4.97%,,,,,,,,,,5.64,,0.10%,,35.52%,,,1.17,,,,,,,,,,,3.52%,9.35%,1.84%,17.51%,46.93%,8.95%,,0.88,3.85%,2.58%,2.51%,5.88%,10.89%,-3.41%,17.71%,-3.41%,48.30%,60.74,0.33%,0.21%,,33.03,0.69,33.22,0.54%,22940,,,7/28/2010,,
5459,NTGR,"NETGEAR, Inc.",Technology,Communication Equipment,USA,784.67,10.24,15.79,,0.61,1.13,2.69,29.61,,0.00%,2.58,135.80%,-26.49%,5.80%,,-0.70%,-62.50%,-23.20%,30.3,28.63,2.10%,-14.63%,,-1.01%,8.67%,7.05,7.30%,11.40%,8.20%,2.6,1.7,0,0,31.30%,7.70%,6.30%,-2.22%,-13.09%,-12.98%,-22.86%,-36.17%,-9.55%,0.8,0.98,4.78%,3.40%,-8.71%,-7.60%,-21.42%,-14.77%,3.00%,-41.56%,3.00%,34.73,2.28%,0.04%,2.8,352.17,0.61,26.42,2.32%,216486,2/02/2022 16:30,29.8,7/31/2003,26.42,0.00%
5460,NTIC,Northern Technologies International Corporation,Basic Materials,Specialty Chemicals,USA,118.8,12.9,10.82,0.65,1.92,1.73,14.85,,2.25%,19.30%,0.96,532.60%,61.97%,54.00%,20.00%,11.40%,251.10%,42.20%,9.2,6.4,3.30%,0.64%,37.40%,0.51%,0.28%,2.04,12.60%,15.30%,11.00%,3.3,2.3,0,0.04,33.60%,12.70%,15.40%,-0.64%,-10.05%,-22.25%,-33.40%,-5.76%,-18.69%,1.09,0.87,6.64%,6.96%,-10.63%,-14.40%,-23.97%,-27.91%,2.81%,-42.14%,2.81%,36.03,-5.26%,0.15%,2,8.9,1.82,12.44,-5.11%,16209,1/06/2022 8:30,24,3/27/1992,12.44,0.00%
5461,NTIP,"Network-1 Technologies, Inc.",Technology,Communication Equipment,USA,63.1,4.67,,,1.77,1.01,1.04,3.8,3.82%,17.40%,0.56,4.80%,,-19.40%,,-56.70%,293.80%,309.60%,23.93,14.63,3.30%,-15.88%,18.30%,0.16%,0.06%,0.24,22.70%,24.50%,-3.00%,16.8,16.8,0,0,66.30%,50.10%,38.60%,0.01%,-8.38%,-9.33%,-13.24%,-28.01%,-7.08%,0.31,0.07,2.15%,2.46%,-4.09%,-5.18%,-14.48%,-12.66%,1.56%,-36.86%,1.56%,39.79,-0.37%,-0.38%,,35.94,0.15,2.62,-0.75%,5392,,,11/12/1998,2.62,0.00%
5462,NTLA,"Intellia Therapeutics, Inc.",Healthcare,Biotechnology,USA,6487.63,,,,242.08,5.73,8.13,,,,-3.36,-13.80%,-5.80%,-46.70%,30.00%,57.20%,-105.10%,-67.60%,73.71,67,1.00%,-33.04%,83.90%,1.72%,6.50%,5.19,-26.90%,-34.20%,,8.4,8.4,0,0,,,,5.52%,-27.43%,-36.80%,-39.36%,37.37%,-27.25%,2.16,8.38,11.96%,9.35%,-11.69%,-21.96%,-27.26%,-37.82%,13.36%,-57.57%,96.12%,36.57,3.93%,0.45%,1.9,838.54,1.25,86.02,4.39%,1045178,11/04/2021 8:30,173.11,5/06/2016,86.02,0.00%
